begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,DIFFICULT,SPEAKER,DIFFICULT.1,APPOSITION,NOMINAL,PRONOUN,pbegin,pbegin_ind,pbegin_pos,pend,pend_ind,pend_pos,parsed_mention,mention
2045,2048,,,-1,-1,"le in, and
          take off.",sir,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,True,False,True,False,1493.0,23.0,14.0,1495.0,23.0,16.0,sir,sir
2060,2062,,,-1,-1,"le in, and
          take off.",He,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1498.0,23.0,19.0,1499.0,23.0,20.0,He,He
2157,2165,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1573.0,24.0,0.0,1580.0,24.0,7.0,LT.HICOX,LT.HICOX
2183,2187,,,-1,-1,"le in, and
          take off.",your,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,True,False,False,False,1588.0,25.0,7.0,1591.0,25.0,10.0,your,your
2240,2248,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1635.0,25.0,54.0,1642.0,25.0,61.0,Stiglitz,Stiglitz
2276,2284,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1659.0,26.0,0.0,1666.0,26.0,7.0,LT.HICOX,LT.HICOX
2295,2298,,,-1,-1,"le in, and
          take off.",You,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,True,False,False,False,1667.0,27.0,0.0,1669.0,27.0,2.0,You,You
2480,2481,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1812.0,27.0,145.0,1812.0,27.0,145.0,I,I
2528,2529,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,1850.0,27.0,183.0,1850.0,27.0,183.0,I,I
2651,2678,,,-1,-1,"le in, and
          take off.",The renegade Gerry Sergeant,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,True,False,1889.0,28.0,0.0,1915.0,28.0,26.0,The renegade Gerry Sergeant,The renegade Gerry Sergeant
2686,2689,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1924.0,28.0,35.0,1926.0,28.0,37.0,his,his
2733,2752,,,-1,-1,"le in, and
          take off.",the limy Lieutenant,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,True,False,1961.0,28.0,72.0,1979.0,28.0,90.0,the limy Lieutenant,the limy Lieutenant
2765,2773,,,-1,-1,"le in, and
          take off.",STIGLITZ,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1981.0,29.0,0.0,1988.0,29.0,7.0,STIGLITZ,STIGLITZ
2784,2785,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,1989.0,30.0,0.0,1989.0,30.0,0.0,I,I
2805,2808,,,-1,-1,"le in, and
          take off.",you,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2010.0,30.0,21.0,2012.0,30.0,23.0,you,you
2821,2829,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2014.0,31.0,0.0,2021.0,31.0,7.0,LT.HICOX,LT.HICOX
2850,2853,,,-1,-1,"le in, and
          take off.",you,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2032.0,32.0,10.0,2034.0,32.0,12.0,you,you
2882,2883,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2053.0,33.0,0.0,2053.0,33.0,0.0,I,I
2890,2893,,,-1,-1,"le in, and
          take off.",you,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2061.0,33.0,8.0,2063.0,33.0,10.0,you,you
2908,2910,,,-1,-1,"le in, and
          take off.",He,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2068.0,34.0,0.0,2069.0,34.0,1.0,He,He
2917,2920,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2077.0,34.0,9.0,2079.0,34.0,11.0,his,his
2939,2942,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2099.0,34.0,31.0,2101.0,34.0,33.0,his,his
2960,2965,,,-1,-1,"le in, and
          take off.",Hicox,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2110.0,34.0,42.0,2114.0,34.0,46.0,Hicox,Hicox
2980,2984,,,-1,-1,"le in, and
          take off.",Aldo,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2130.0,34.0,62.0,2133.0,34.0,65.0,Aldo,Aldo
2995,2998,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2145.0,34.0,77.0,2147.0,34.0,79.0,him,him
3021,3031,,,-1,-1,"le in, and
          take off.",LT. HI COX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2159.0,35.0,0.0,2168.0,35.0,9.0,LT. HI COX,LT. HI COX
3042,3071,,,-1,-1,"le in, and
          take off.","This Gerry of yours, Stiglitz",          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2169.0,36.0,0.0,2197.0,36.0,28.0,"This Gerry of yours, Stiglitz","This Gerry of yours, Stiglitz"
3056,3061,,,-1,-1,"le in, and
          take off.",yours,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2183.0,36.0,14.0,2187.0,36.0,18.0,yours,yours
3129,3131,,,-1,-1,"le in, and
          take off.",he,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,2236.0,36.0,67.0,2237.0,36.0,68.0,he,he
3143,3147,,,-1,-1,"le in, and
          take off.",Aldo,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2240.0,36.0,71.0,2243.0,36.0,74.0,Aldo,Aldo
3162,3165,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,True,False,False,False,2259.0,36.0,90.0,2261.0,36.0,92.0,him,him
3178,3185,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2263.0,37.0,0.0,2269.0,37.0,6.0,LT.ALDO,LT.ALDO
3218,3221,,,-1,-1,"le in, and
          take off.",you,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2292.0,38.0,22.0,2294.0,38.0,24.0,you,you
3270,3278,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2322.0,39.0,0.0,2329.0,39.0,7.0,LT.HICOX,LT.HICOX
3301,3311,,,-1,-1,"le in, and
          take off.",Lieutenant,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,True,False,2342.0,40.0,12.0,2351.0,40.0,21.0,Lieutenant,Lieutenant
3324,3331,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2353.0,41.0,0.0,2359.0,41.0,6.0,LT.ALDO,LT.ALDO
3469,3477,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2455.0,43.0,0.0,2462.0,43.0,7.0,LT.HICOX,LT.HICOX
3703,3725,,,-1,-1,"le in, and
          take off.",Frau Von Hammersmark's,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,True,False,False,False,2628.0,44.0,165.0,2649.0,44.0,186.0,Frau Von Hammersmark's,Frau Von Hammersmark's
3791,3803,,,-1,-1,"le in, and
          take off.",SGT.DONOWITZ,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,False,False,2694.0,45.0,0.0,2705.0,45.0,11.0,SGT.DONOWITZ,SGT.DONOWITZ
3826,3846,,,-1,-1,"le in, and
          take off.",Frau Von Hammersmark,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,2718.0,46.0,12.0,2737.0,46.0,31.0,Frau Von Hammersmark,Frau Von Hammersmark
3928,3936,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2788.0,47.0,0.0,2795.0,47.0,7.0,LT.HICOX,LT.HICOX
3947,3950,,,-1,-1,"le in, and
          take off.",She,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,2796.0,48.0,0.0,2798.0,48.0,2.0,She,She
3978,3990,,,-1,-1,"le in, and
          take off.",SGT.DONOWITZ,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,False,False,2815.0,49.0,0.0,2826.0,49.0,11.0,SGT.DONOWITZ,SGT.DONOWITZ
4088,4096,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,2854.0,51.0,0.0,2861.0,51.0,7.0,LT.HICOX,LT.HICOX
4113,4116,,,-1,-1,"le in, and
          take off.",she,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,2868.0,52.0,6.0,2870.0,52.0,8.0,she,she
4156,4159,,,-1,-1,"le in, and
          take off.",She,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,2901.0,52.0,39.0,2903.0,52.0,41.0,She,She
4189,4196,,,-1,-1,"le in, and
          take off.",LT.ALDO,          EXT - LA LOUISIANE (,10,LT. ALDO RAINE,False,False,True,False,False,False,False,2922.0,53.0,0.0,2928.0,53.0,6.0,LT.ALDO,LT.ALDO
4322,4330,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3012.0,55.0,0.0,3019.0,55.0,7.0,LT.HICOX,LT.HICOX
4341,4344,,,-1,-1,"le in, and
          take off.",She,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,3020.0,56.0,0.0,3022.0,56.0,2.0,She,She
4388,4391,,,-1,-1,"le in, and
          take off.",She,          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,3057.0,56.0,37.0,3059.0,56.0,39.0,She,She
4465,4479,,,-1,-1,"le in, and
          take off.",PFC.HIRSCHBERG,          EXT - LA LOUISIANE (,11,Hirschberg,False,False,True,False,False,False,False,3112.0,57.0,0.0,3125.0,57.0,13.0,PFC.HIRSCHBERG,PFC.HIRSCHBERG
4490,4500,,,-1,-1,"le in, and
          take off.",Lieutenant,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3126.0,58.0,0.0,3135.0,58.0,9.0,Lieutenant,Lieutenant
4502,4503,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,11,Hirschberg,False,False,True,False,False,False,False,3138.0,58.0,12.0,3138.0,58.0,12.0,I,I
4539,4540,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,11,Hirschberg,False,False,True,False,False,False,False,3165.0,58.0,39.0,3165.0,58.0,39.0,I,I
4548,4554,,,-1,-1,"le in, and
          take off.",a Nazi,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,3174.0,58.0,48.0,3179.0,58.0,53.0,a Nazi,a Nazi
4651,4682,,,-1,-1,"le in, and
          take off.","ONE LONE NAZI
          PRIVATE",          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,3257.0,58.0,131.0,3277.0,58.0,151.0,ONE LONE NAZI PRIVATE,"ONE LONE NAZI
          PRIVATE"
4693,4700,,,-1,-1,"le in, and
          take off.",himself,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3289.0,58.0,163.0,3295.0,58.0,169.0,himself,himself
4734,4742,,,-1,-1,"le in, and
          take off.",Lt.Bicox,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3320.0,58.0,194.0,3327.0,58.0,201.0,Lt.Bicox,Lt.Bicox
4790,4798,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3364.0,59.0,0.0,3371.0,59.0,7.0,LT.HICOX,LT.HICOX
4825,4837,,,-1,-1,"le in, and
          take off.",Sgt.Donowitz,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,False,False,3378.0,60.0,6.0,3389.0,60.0,17.0,Sgt.Donowitz,Sgt.Donowitz
4845,4848,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3398.0,60.0,26.0,3400.0,60.0,28.0,him,him
4861,4873,,,-1,-1,"le in, and
          take off.",SGT.DONOWITZ,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,False,False,3402.0,61.0,0.0,3413.0,61.0,11.0,SGT.DONOWITZ,SGT.DONOWITZ
4895,4898,,,-1,-1,"le in, and
          take off.",you,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3425.0,62.0,11.0,3427.0,62.0,13.0,you,you
4905,4909,,,-1,-1,"le in, and
          take off.",your,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3435.0,62.0,21.0,3438.0,62.0,24.0,your,your
4905,4939,,,-1,-1,"le in, and
          take off.","your fraulein
          Von Hammer",          EXT - LA LOUISIANE (,19,BRIDGET VON HAMMERSMARK,False,False,True,False,False,False,False,3435.0,62.0,21.0,3458.0,62.0,44.0,your fraulein Von Hammer,"your fraulein
          Von Hammer"
4953,4961,,,-1,-1,"le in, and
          take off.",LT.HICOX,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3461.0,63.0,0.0,3468.0,63.0,7.0,LT.HICOX,LT.HICOX
4985,4986,,,-1,-1,"le in, and
          take off.",I,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3482.0,64.0,13.0,3482.0,64.0,13.0,I,I
4998,5002,,,-1,-1,"le in, and
          take off.",Sgt.,          EXT - LA LOUISIANE (,20,Donowitz,False,False,True,False,False,True,False,3495.0,64.0,26.0,3498.0,64.0,29.0,Sgt.,Sgt.
5013,5032,,,-1,-1,"le in, and
          take off.",The British officer,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,True,False,3500.0,64.0,31.0,3518.0,64.0,49.0,The British officer,The British officer
5041,5059,,,-1,-1,"le in, and
          take off.",the German soldier,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,3528.0,64.0,59.0,3545.0,64.0,76.0,the German soldier,the German soldier
5107,5120,,,-1,-1,"le in, and
          take off.",Hugo Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,3584.0,64.0,115.0,3596.0,64.0,127.0,Hugo Stiglitz,Hugo Stiglitz
5127,5130,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,7,LT. HICOX,False,False,True,False,False,False,False,3604.0,64.0,135.0,3606.0,64.0,137.0,him,him
5156,5164,,,-1,-1,"le in, and
          take off.",Stiglitz,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,3623.0,64.0,154.0,3630.0,64.0,161.0,Stiglitz,Stiglitz
5179,5197,,,-1,-1,"le in, and
          take off.",the urinating Nazi,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,3646.0,64.0,177.0,3663.0,64.0,194.0,the urinating Nazi,the urinating Nazi
5241,5249,,,-1,-1,"le in, and
          take off.",STIGLITZ,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,3686.0,65.0,0.0,3693.0,65.0,7.0,STIGLITZ,STIGLITZ
5296,5298,,,-1,-1,"le in, and
          take off.",He,          EXT - LA LOUISIANE (,9,STIGLITZ,False,False,True,False,False,False,False,3720.0,66.0,26.0,3721.0,66.0,27.0,He,He
5385,5411,,,-1,-1,"le in, and
          take off.",The GERMAN PISSING PRIVATE,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,3786.0,68.0,0.0,3811.0,68.0,25.0,The GERMAN PISSING PRIVATE,The GERMAN PISSING PRIVATE
5431,5434,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3832.0,68.0,46.0,3834.0,68.0,48.0,his,his
5459,5462,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3850.0,68.0,64.0,3852.0,68.0,66.0,his,his
5478,5481,,,-1,-1,"le in, and
          take off.",his,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3869.0,68.0,83.0,3871.0,68.0,85.0,his,his
5489,5491,,,-1,-1,"le in, and
          take off.",he,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3880.0,68.0,94.0,3881.0,68.0,95.0,he,he
5532,5535,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3913.0,68.0,127.0,3915.0,68.0,129.0,him,him
5567,5569,,,-1,-1,"le in, and
          take off.",We,          EXT - LA LOUISIANE (,15,READER,False,False,False,False,False,False,False,3948.0,68.0,162.0,3949.0,68.0,163.0,We,We
5577,5580,,,-1,-1,"le in, and
          take off.",him,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,False,False,3958.0,68.0,172.0,3960.0,68.0,174.0,him,him
6143,6146,,,-1,-1,"le in, and
          take off.",our,          EXT - LA LOUISIANE (,15,READER,False,False,False,False,False,False,False,4405.0,70.0,398.0,4407.0,70.0,400.0,our,our
6143,6163,,,-1,-1,"le in, and
          take off.",our urinating friend,          EXT - LA LOUISIANE (,3,NAZI PRIVATE,False,False,False,False,False,True,False,4405.0,70.0,398.0,4424.0,70.0,417.0,our urinating friend,our urinating friend
