movie,text,robust,rule,correct,robust == correct,rule == correct,0.9927538981,0.9393376076
quiet_place,gently twists a bottle that reads... AMOXICILLIN.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    ON THE MOTHER... as she inhales slowly? And then, as if",N,N,N,TRUE,TRUE,,
quiet_place,"    doing surgery, she slowly closes her hand around the bottle",N,N,N,TRUE,TRUE,,
quiet_place,and GENTLY begins to move it through the shelf toward her.,N,N,N,TRUE,TRUE,,
quiet_place,"    Her hand, once again moves incredibly slowly, her now wider",N,N,N,TRUE,TRUE,,
quiet_place,closed hand shifts even more bottles as it passes. JUST as,N,N,N,TRUE,TRUE,,
quiet_place,she gets to the end of the shelf a bottle shifts... with a,N,N,N,TRUE,TRUE,,
quiet_place,"    RATTLE of pills. This is the first, deliberate sound we've",N,N,N,TRUE,TRUE,,
quiet_place,heard. The mother... FREEZES!!!!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    WE RACK FOCUS to the boy on the ground, who now looks up...",N,N,N,TRUE,TRUE,,
quiet_place,with panic. The mother's eyes look all around the room...,N,N,N,TRUE,TRUE,,
quiet_place,The way one does when they are waiting for something...,N,N,N,TRUE,TRUE,,
quiet_place,LISTENING for something. After a long moment... she pulls,N,N,N,TRUE,TRUE,,
quiet_place,the bottle in her hand the final few inches... and off the,N,N,N,TRUE,TRUE,,
quiet_place,shelf.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    The mother draws a huge breath of relief. As she stands up,",N,N,N,TRUE,TRUE,,
quiet_place,"    we reveal, just over the counter... TWO EYES LOOKING UP AT",N,N,N,TRUE,TRUE,,
quiet_place,HER!!!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,4   INT. AISLE - LATE AFTERNOON                                      4,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    A 10 year old girl stands on her toes, barely able to see",N,N,N,TRUE,TRUE,,
quiet_place,over the wooden counter to... her mother. She smiles at her,N,N,N,TRUE,TRUE,,
quiet_place,mother... and gives her a thumbs up. With that... she's off.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,WE FOLLOW HER as she runs lightly through the store... she is,N,N,N,TRUE,TRUE,,
quiet_place,also barefoot.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The GIRL turns down an aisle to reveal... a small boy sitting,N,N,N,TRUE,TRUE,,
quiet_place,on the floor... He too is barefoot.,N,N,N,TRUE,TRUE,,
quiet_place,3.,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    As the girl approaches we see, in the thick dust on the floor",N,N,N,TRUE,TRUE,,
quiet_place,he has drawn... a rocket ship. She sits with him.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    He silently puts his hand to his chest, palm to the side...",N,N,N,TRUE,TRUE,,
quiet_place,crosses his first two fingers of his other hand with,N,N,N,TRUE,TRUE,,
quiet_place,deliberate focus... and then slowly puts his two hands,N,N,N,TRUE,TRUE,,
quiet_place,together. He then looks up at her... and quickly shoots his,N,N,N,TRUE,TRUE,,
quiet_place,crossed fingers into the air... like a rocket. She beams,N,N,N,TRUE,TRUE,,
quiet_place,with pride for a moment and then... Signs back to him.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,DAUGHTER (SIGNING),C,C,C,TRUE,TRUE,,
quiet_place,Very good job!,D,D,D,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,BOY (SIGNING AS BEST WE CAN),E,N,C,TRUE,FALSE,,
quiet_place,....That's how... we get away.,D,N,D,FALSE,FALSE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The girl's smile falls ever so slightly. Then the boy,N,N,N,TRUE,TRUE,,
quiet_place,suddenly... TAPS her on the shoulder and scurries away...,N,N,N,TRUE,TRUE,,
quiet_place,"    She's ""it"".",N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    As the girl slowly gets up to follow him, we see for the",N,N,N,TRUE,TRUE,,
quiet_place,first time... A HEARING AID...,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The boy disappears around a corner...,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,5   INT. NEXT AISLE - LATE AFTERNOON                                 5,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The girl comes around the tall shelf into the next aisle when,N,N,N,TRUE,TRUE,,
quiet_place,suddenly... her eyes go wide!!! What she sees is the boy,N,N,N,TRUE,TRUE,,
quiet_place,"    standing on a small box, STRETCHING to reach a toy on a high",N,N,N,TRUE,TRUE,,
quiet_place,shelf. She walks quickly to him when suddenly... the toy,N,N,N,TRUE,TRUE,,
quiet_place,FALLS.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The girl instinctively SLIDES to the ground and catches the,N,N,N,TRUE,TRUE,,
quiet_place,toy JUST as it's about to hit the ground! On her face we can,N,N,N,TRUE,TRUE,,
quiet_place,"    see she is TERRIFIED! She closes her eyes, taking a breath",N,N,N,TRUE,TRUE,,
quiet_place,"    with relief. When she opens them, in the foreground, we see",N,N,N,TRUE,TRUE,,
quiet_place,the toy she is holding... a small TOY SPACE SHUTTLE. Then in,N,N,N,TRUE,TRUE,,
quiet_place,the distance past the toy we see... a FIGURE.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,She sits up to see a man standing outside the door of the,N,N,N,TRUE,TRUE,,
quiet_place,"    general store, holding a large box with what looks like a",N,N,N,TRUE,TRUE,,
quiet_place,quilt hanging out of it. A look of fear on his face...,N,N,N,TRUE,TRUE,,
quiet_place,"    softens, as he mimes wiping his brow with relief. She smiles,",N,N,N,TRUE,TRUE,,
quiet_place,puts the toy back on a shelf and runs to him.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,6   INT. GENERAL STORE - FRONT - LATE AFTERNOON                      6,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The father gently puts the box on the ground and pulls back,N,N,N,TRUE,TRUE,,
quiet_place,the pieces of thick quilt to reveal that all the contents are,N,N,N,TRUE,TRUE,,
quiet_place,actually wrapped in it.,N,N,N,TRUE,TRUE,,
quiet_place,4.,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"He then reaches for a LARGE HIKING BACK PACK, and begins",N,N,N,TRUE,TRUE,,
quiet_place,transferring the contents of the box into the bag. As he,N,N,N,TRUE,TRUE,,
quiet_place,"does, we see... cans of food, a variety of prescription",N,N,N,TRUE,TRUE,,
quiet_place,"pills, bandages and wrapped syringes.",N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The girl arrives at his side and excitedly starts rummaging,N,N,N,TRUE,TRUE,,
quiet_place,"through the box as well. As she does, we see... thick",N,N,N,TRUE,TRUE,,
quiet_place,"paintbrushes, bottles of glue, bottles of lighter fluid and a",N,N,N,TRUE,TRUE,,
quiet_place,stack of old newspapers. Then... her face lights up. From,N,N,N,TRUE,TRUE,,
quiet_place,"the box, she pulls out a SALVAGED SECURITY CAMERA with wires",N,N,N,TRUE,TRUE,,
quiet_place,exposed. The girl gives it a brief once over and then,N,N,N,TRUE,TRUE,,
quiet_place,"removes... two exposed CIRCUIT BOARDS, very obviously only",N,N,N,TRUE,TRUE,,
quiet_place,recently removed from whatever appliance they belonged to.,N,N,N,TRUE,TRUE,,
quiet_place,"The girl scans the boards with a voracity, pointing out to",N,N,N,TRUE,TRUE,,
quiet_place,the father particular areas of interest. Her father can't,N,N,N,TRUE,TRUE,,
quiet_place,help but smile.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"Suddenly, the box of Amoxicillin comes into frame and is",N,N,N,TRUE,TRUE,,
quiet_place,placed on top... along with two boxes of sugar. The father,N,N,N,TRUE,TRUE,,
quiet_place,looks up at his wife. After a beat... she signs:,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,MOTHER (SIGNING),C,C,C,TRUE,TRUE,,
quiet_place,For my tea.,D,D,D,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,He just keeps looking at her.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,MOTHER (SIGNING) (CONT'D),E,C,C,TRUE,TRUE,,
quiet_place,Fine. I have a sweet tooth.,D,D,D,FALSE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The father smiles and is about to close the bag when... a,N,N,N,TRUE,TRUE,,
quiet_place,candy bar is placed on top.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,DAUGHTER (SIGNING),C,C,C,TRUE,TRUE,,
quiet_place,Me too!,D,D,D,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The father looks up at her with fake incredulity. Suddenly,N,N,N,TRUE,TRUE,,
quiet_place,the sick son in his mother's arms weakly signs:,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,OLDER SON (SIGNING),C,C,C,TRUE,TRUE,,
quiet_place,Me too.,D,D,D,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The whole family laughs silently as the daughter GENTLY takes,N,N,N,TRUE,TRUE,,
quiet_place,another candy bar from a box below the cash register... We,N,N,N,TRUE,TRUE,,
quiet_place,can now see why the boxes are almost empty.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"The father looks back to his arriving four year old son,",N,N,N,TRUE,TRUE,,
quiet_place,"expecting the same, but from behind his back the young boy",N,N,N,TRUE,TRUE,,
quiet_place,reveals... the toy space shuttle.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,With a sweet empathy the father reaches for the toy... and,N,N,N,TRUE,TRUE,,
quiet_place,shakes his head no. He turns the toy over and silently,N,N,N,TRUE,TRUE,,
quiet_place,explains it has batteries... this toy can make noise.,N,N,N,TRUE,TRUE,,
quiet_place,5.,N,O,N,TRUE,FALSE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    The little boy watches, confused... hurt, as his father",N,N,N,TRUE,TRUE,,
quiet_place,gently places the space shuttle on the counter. And then,N,N,N,TRUE,TRUE,,
quiet_place,gently grabs a big lollipop and puts it in the bag for the,N,N,N,TRUE,TRUE,,
quiet_place,boy.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The mother hands their sick son to the father who picks him,N,N,N,TRUE,TRUE,,
quiet_place,up and walks out. The mother kisses her 4 year old on the,N,N,N,TRUE,TRUE,,
quiet_place,"    head, shuffles the hiking bag onto her back and walks out",N,N,N,TRUE,TRUE,,
quiet_place,too.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The daughter looks at the boy as tears begin to fill his,N,N,N,TRUE,TRUE,,
quiet_place,eyes. She smiles and signs:,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,DAUGHTER (SIGNING),C,C,C,TRUE,TRUE,,
quiet_place,It's ok.,D,D,D,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The boy shakes his head no.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,After a moment... the girl looks back to see if her parents,N,N,N,TRUE,TRUE,,
quiet_place,are there. She then reaches up and takes the shuttle down,N,N,N,TRUE,TRUE,,
quiet_place,from the counter. With wide eyes her little brother watches,N,N,N,TRUE,TRUE,,
quiet_place,as she surgically removes the batteries... and places the,N,N,N,TRUE,TRUE,,
quiet_place,shuttle in the hood of her brother's sweatshirt. Covering it,N,N,N,TRUE,TRUE,,
quiet_place,"    from view, she holds a finger up to her lips in the",N,N,N,TRUE,TRUE,,
quiet_place,obligatory big sister way of telling him not to get her in,N,N,N,TRUE,TRUE,,
quiet_place,trouble... He beams!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,She then stands up and places the batteries back on the,N,N,N,TRUE,TRUE,,
quiet_place,"    counter, smiles at her brother and gestures ""let's go"".",N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,7   EXT. MAIN STREET - LATE AFTERNOON                                7,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The daughter exits the General Store and follows her mother,N,N,N,TRUE,TRUE,,
quiet_place,"    and father, who are walking down the street only stepping on",N,N,N,TRUE,TRUE,,
quiet_place,the sand path. Their steps are almost silent.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,After a moment... her four year old brother follows behind,N,N,N,TRUE,TRUE,,
quiet_place,her. We watch everyone walk in total silence.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,Then...,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,8   INT. GENERAL STORE - LATE AFTERNOON                              8,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,We slowly push in to the counter of the store and then,N,N,N,TRUE,TRUE,,
quiet_place,realize... THE BATTERIES ARE GONE!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,9   EXT. ROAD - LATE AFTERNOON                                       9,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"    A long road slices its way through a heavily wooded area,",N,N,N,TRUE,TRUE,,
quiet_place,which further blocks the already fading sun.,N,N,N,TRUE,TRUE,,
quiet_place,6.,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"     In WIDE PROFILE we see the family walking in a line,",N,N,N,TRUE,TRUE,,
quiet_place,continuing only on a sand path. The father is in front,N,N,N,TRUE,TRUE,,
quiet_place,"     carrying their sick son, then the mother with the backpack,",N,N,N,TRUE,TRUE,,
quiet_place,then their blonde daughter... and trailing a bit behind,N,N,N,TRUE,TRUE,,
quiet_place,rumbles their robust 4 year old.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,10   EXT. BRIDGE - LATE AFTERNOON                                 10,S,S,S,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,From the ground we look up at an old and rusted bridge,N,N,N,TRUE,TRUE,,
quiet_place,towering over us eerily... the sand path continues across it.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,WE TRACK WITH THE FAMILY as they walk across the bridge...,N,N,N,TRUE,TRUE,,
quiet_place,There are minor creaks underneath the sand.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,Suddenly we see... the four year old stops just before the,N,N,N,TRUE,TRUE,,
quiet_place,entrance of bridge. The family continues... not seeing him.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,WE FOLLOW THE BOY'S HANDS as he fishes around in his hood and,N,N,N,TRUE,TRUE,,
quiet_place,pulls out... THE TOY SHUTTLE.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"     HEAD ON, we walk with the father, each member of his proud",N,N,N,TRUE,TRUE,,
quiet_place,brood can be seen walking behind him. We can hear his,N,N,N,TRUE,TRUE,,
quiet_place,strained breath... and the tiniest swish of the footsteps in,N,N,N,TRUE,TRUE,,
quiet_place,sand.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"     HEAD ON, walking with the daughter... we now suddenly hear",N,N,N,TRUE,TRUE,,
quiet_place,nothing. As she looks to be in her own world... So we are in,N,N,N,TRUE,TRUE,,
quiet_place,hers. A smile breaks on her face as she walks and breathes in,N,N,N,TRUE,TRUE,,
quiet_place,"     total silence. We walk with her for a long moment, when",N,N,N,TRUE,TRUE,,
quiet_place,suddenly behind her...,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,A FLICKERING RED AND BLUE LIGHT.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,The girl does not turn. She just keeps walking. Still,N,N,N,TRUE,TRUE,,
quiet_place,"     smiling. As she looks up to her mother, we go into:",N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,SLOW MOTION,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"     - FROM THE GIRLS'S POV, we see her mother and father spin",N,N,N,TRUE,TRUE,,
quiet_place,around with a frantic shock on their faces.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- BACK ON THE GIRL. She looks confused at her parents,N,N,N,TRUE,TRUE,,
quiet_place,behavior... LIGHTS AGAIN FLASH EERILY BEHIND HER.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- ON THE FATHER rushing to put the boy on the ground and,N,N,N,TRUE,TRUE,,
quiet_place,turning to run.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"     - ON THE MOTHER, spinning around with terror in her eyes...",N,N,N,TRUE,TRUE,,
quiet_place,she looks to be holding in a SCREAM.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- BACK ON THE GIRL slowly beginning to turn around at what,N,N,N,TRUE,TRUE,,
quiet_place,her parents could be looking at as we:,N,N,N,TRUE,TRUE,,
quiet_place,7.,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,SPEED BACK UP TO NORMAL,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,A loud playful beeping rushes in... from the blinking,N,N,N,TRUE,TRUE,,
quiet_place,shuttle.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"Then, from the woods we hear... THE MOST UNMISTAKEABLE",N,N,N,TRUE,TRUE,,
quiet_place,HORRIFYING.... SCREEEEEEEECH!!!,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- ON THE MOTHER as she slowly lowers the backpack to the,N,N,N,TRUE,TRUE,,
quiet_place,ground... and her legs begin to fail her.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,"- ON THE FATHER running, violently shaking his head... It",N,N,N,TRUE,TRUE,,
quiet_place,looks like he's HOLDING IN A SCREAM.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- THE TREES BEHIND THEM... RUSTLE AND SNAP as something,N,N,N,TRUE,TRUE,,
quiet_place,barrels through.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
quiet_place,- ON THE BOY... holding up his space ship proudly to his,N,N,N,TRUE,TRUE,,
quiet_place,incoming father... an enormous smile on his face.,N,N,N,TRUE,TRUE,,
quiet_place,,O,O,O,TRUE,TRUE,,
