begin,end,begin_segment,end_segment,begin_line,end_line,leftContext,surface,rightContext,entityNum,entityLabel,entityGroup,Difficult,Speaker,Pronoun,Difficult,Nominal,Apposition
22034,22038,,,-1,-1,"             

          END. ",Your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22084,22087,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22184,22190,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
22274,22275,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22320,22322,,,-1,-1,"             

          END. ",me,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22433,22436,,,-1,-1,"             

          END. ",sit,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22535,22541,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
22600,22601,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22905,22908,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22955,22958,,,-1,-1,"             

          END. ",sir,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
22997,23003,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
23017,23024,,,-1,-1,"             

          END. ",himself,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
23160,23166,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
23636,23642,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
23682,23685,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
23760,23762,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24047,24053,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24229,24232,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24336,24342,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24366,24369,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24425,24431,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24459,24460,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24532,24538,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24644,24647,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24649,24652,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24661,24698,,,-1,-1,"             

          END. ","magician-the
           Great Danton.","


 
                         ",0,ROBERT ANGIER,false,false,false,false,true,true,false
24717,24723,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24756,24760,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24802,24805,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
24894,24900,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
24910,24913,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25100,25106,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25118,25119,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25218,25224,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25292,25296,,,-1,-1,"             

          END. ",mine,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25338,25340,,,-1,-1,"             

          END. ",me,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25377,25380,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25398,25399,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25520,25526,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25538,25539,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25638,25647,,,-1,-1,"             

          END. ",Mr.Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25680,25683,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25752,25758,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25770,25771,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
25849,25855,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
25986,25992,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
26039,26045,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
26290,26296,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
26367,26370,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
26372,26374,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
26396,26399,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
26415,26417,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
26493,26499,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
26565,26567,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
26621,26627,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
26633,26636,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
27115,27121,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
27870,27876,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
27924,27930,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
28498,28504,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
29030,29036,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
29073,29075,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
29124,29127,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
29568,29574,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
30210,30216,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
30337,30343,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
30661,30667,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
31385,31391,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
31486,31492,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
32072,32078,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
32281,32287,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
32309,32310,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32561,32567,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
32579,32580,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32660,32663,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32746,32752,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
32775,32777,,,-1,-1,"             

          END. ",me,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32785,32786,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32951,32955,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
32964,32973,,,-1,-1,"             

          END. ",Mr.Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
33176,33182,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
33721,33727,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
34098,34104,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
34369,34375,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
35853,35859,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
35977,35983,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
36184,36190,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
36261,36267,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
36378,36381,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
36425,36431,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
36639,36645,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
36938,36944,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37201,37207,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37219,37220,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37235,37236,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37339,37342,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37436,37442,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37494,37500,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37591,37594,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37619,37625,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37690,37699,,,-1,-1,"             

          END. ",Mr.Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37716,37722,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
37750,37754,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37792,37795,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
37815,37819,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
40481,40487,,,-1,-1,"             

          END. ",Borden,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
43020,43026,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
43546,43552,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
43571,43574,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
43598,43600,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
43773,43779,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
43939,43945,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
44194,44200,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
44632,44638,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
44924,44930,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
44953,44956,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
44990,44992,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
45022,45025,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
45116,45122,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
45134,45135,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
45484,45490,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
45615,45621,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
45745,45751,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
45795,45796,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
45964,45967,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46056,46062,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
46074,46075,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46097,46101,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46208,46212,,,-1,-1,"             

          END. ",your,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46223,46226,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46249,46252,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46318,46324,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
46336,46337,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46347,46349,,,-1,-1,"             

          END. ",my,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46357,46358,,,-1,-1,"             

          END. ",I,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46399,46401,,,-1,-1,"             

          END. ",my,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46445,46451,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
46570,46573,,,-1,-1,"             

          END. ",you,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46589,46605,,,-1,-1,"             

          END. ",The Great Danton,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,true
46635,46641,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
46661,46664,,,-1,-1,"             

          END. ",You,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
46765,46771,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
53698,53704,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
53731,53733,,,-1,-1,"             

          END. ",He,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
53808,53811,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
53862,53868,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
54111,54117,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
54168,54174,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
54332,54338,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
55439,55445,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
56315,56328,,,-1,-1,"             

          END. ",a Lord Caldlo,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
56493,56496,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
57243,57249,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
58817,58823,,,-1,-1,"             

          END. ",ANGIER,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
59687,59693,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
59946,59952,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
59973,59975,,,-1,-1,"             

          END. ",he,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
60039,60042,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
60519,60525,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
60535,60538,,,-1,-1,"             

          END. ",his,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
60659,60662,,,-1,-1,"             

          END. ",him,"


 
                         ",0,ROBERT ANGIER,false,false,false,true,false,false,false
60909,60915,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
61019,61025,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
61331,61337,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
61620,61626,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
61854,61860,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
61977,61983,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
62049,62055,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
62205,62211,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
62260,62266,,,-1,-1,"             

          END. ",Angier,"


 
                         ",0,ROBERT ANGIER,false,false,false,false,false,false,false
